"S00026234"	"S00026235"	"S00026236"	"S00026237"	"S00026238"	"S00026239"	"S00026240"	"S00026241"	"S00026242"	"S00026243"	"S00026244"	"S00026245"	"S00026246"	"S00026247"	"S00026248"	"S00026249"	"S00026250"	"S00026251"	"S00026252"	"S00026253"	"S00026254"	"S00026255"	"S00026256"	"S00026257"	"S00026258"	"S00026259"	"S00026260"	"S00026261"	"S00026262"	"S00026263"	"S00026264"	"S00026265"	"S00026266"
"ME203500"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4185	NA	NA	NA	NA	NA	NA	NA	NA
"ME203501"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2463	NA	NA	2262
"ME203502"	NA	NA	NA	NA	NA	NA	NA	NA	1099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3526	NA	5649	NA	NA	NA	NA	NA	NA	NA	NA
"ME203503"	23141	7515	6869	3865	9422	NA	NA	24984	NA	NA	NA	2474	2609	2573	NA	NA	NA	NA	NA	50903	NA	NA	5255	2392	NA	8573	NA	2566	NA	NA	NA	NA	NA
"ME203504"	94119	58419	46099	40133	60876	15783	17238	88476	9587	17061	4038	30238	30559	31529	5155	9499	NA	NA	9261	139319	9247	17014	42559	30063	17109	57712	14282	31644	19877	21917	5362	24861	NA
"ME203505"	401360	227055	219707	152131	261072	43554	22697	434808	39022	69207	11359	153696	134544	142425	20008	13570	NA	15794	19206	652636	34640	55095	184564	101759	31340	259461	62027	136075	76488	86178	NA	106751	19478
"ME203506"	129062	282336	223135	322364	488552	257091	283969	195342	118005	184462	211008	120401	203845	89517	212118	64908	231285	NA	147726	211347	168247	153391	114450	237006	236407	204514	173104	208768	100150	122403	245306	309242	133117
"ME203507"	28003	38467	37123	34813	36632	34430	19606	26302	18508	18851	22792	18043	25042	10128	15690	11992	31514	NA	16052	NA	6944	18619	12567	NA	NA	28572	NA	NA	14773	18507	20433	26127	NA
"ME203508"	NA	NA	NA	2481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203509"	2216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203497"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203496"	35824	50107	34022	39178	43868	39860	29998	29545	34701	NA	35565	37456	29277	27055	20030	29324	28918	36912	19582	NA	20273	NA	10734	12728	NA	24456	NA	12680	NA	NA	NA	17008	NA
"ME203498"	NA	NA	NA	1368	1328	NA	1875	NA	NA	1716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
