"S00026234"	"S00026235"	"S00026236"	"S00026237"	"S00026238"	"S00026239"	"S00026240"	"S00026241"	"S00026242"	"S00026243"	"S00026244"	"S00026245"	"S00026246"	"S00026247"	"S00026248"	"S00026249"	"S00026250"	"S00026251"	"S00026252"	"S00026253"	"S00026254"	"S00026255"	"S00026256"	"S00026257"	"S00026258"	"S00026259"	"S00026260"	"S00026261"	"S00026262"	"S00026263"	"S00026264"	"S00026265"	"S00026266"
"ME203791"	234617	NA	NA	NA	227780	NA	NA	NA	NA	208352	161175	NA	334848	170871	NA	NA	191159	19104	213094	NA	NA	NA	NA	NA	408952	NA	132432	338104	295305	351599	NA	NA	NA
"ME203792"	27478	NA	NA	NA	NA	NA	NA	NA	NA	18547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	35798	NA	NA	19684	NA	NA	NA	NA	NA
"ME203793"	2269	NA	NA	NA	5141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203794"	29843	28012	21187	17523	8780	27948	26935	30717	26040	40280	32629	29919	34295	35519	27936	49245	23769	NA	30129	26935	43712	33242	25928	41425	30432	36755	33778	25610	28379	28272	41581	38953	32315
"ME203795"	2316	NA	NA	NA	NA	10871	NA	NA	NA	NA	NA	NA	NA	NA	1653	NA	NA	NA	NA	NA	3772	NA	NA	6568	NA	NA	NA	NA	NA	NA	2635	2465	NA
"ME203796"	20754	17062	18896	45970	18242	45409	27312	24041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14240	16909	17195	7170	13277	31904	NA	NA	14523	16897	22490	NA	24863	19449
"ME203797"	11741	7993	NA	3427	9074	7372	NA	NA	3070	25695	5549	15038	19093	19744	19061	17902	17202	3367	22774	10173	NA	7300	NA	20873	18589	21572	13175	22743	6984	18136	19947	NA	12608
"ME203798"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2096	NA	NA	NA	NA	1063	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203803"	NA	NA	NA	NA	NA	NA	4200	5183	21402	NA	NA	21458	9166	7693	20612	NA	NA	NA	17675	NA	3811	13105	30267	22079	NA	3599	NA	19136	NA	NA	NA	NA	NA
"ME203804"	12543	72332	103610	82652	37434	NA	55800	90329	NA	2851	8091	NA	NA	NA	1366	NA	NA	NA	2339	NA	1128	1896	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203805"	4257	8116	7116	6779	7583	14495	6365	6710	NA	NA	3648	1902	NA	NA	NA	NA	NA	NA	NA	1202	NA	NA	NA	NA	NA	NA	2236	NA	NA	NA	NA	NA	NA
"ME203806"	NA	NA	3173	5965	NA	NA	1623	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203807"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4277	NA	NA	NA	NA	NA	NA
"ME203808"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203809"	48964	71310	52339	51720	31786	65096	48954	82144	63140	52501	27882	22482	56250	64194	52440	95169	22363	NA	57855	41341	57925	61431	39262	56169	52137	35657	45787	32882	34413	48592	63936	31307	NA
"ME203810"	1082999	1082454	1097918	1203726	1117022	957737	1015404	982883	1063691	1080233	1079753	1087679	1084282	1125864	1089651	1093145	1041902	1178502	1114655	1018877	1057118	1045321	1088655	1095849	1017456	1062133	1088203	1090091	1077270	1055984	1073110	1020599	1041638
"ME203811"	28965	69390	36088	34898	30590	40313	73441	66506	12187	8913	6905	7068	4105	NA	9166	NA	18597	NA	5399	17934	4326	6572	2453	23274	18761	13688	11112	23109	NA	NA	8188	NA	NA
"ME203812"	NA	3682	1796	NA	NA	NA	NA	3045	NA	NA	NA	2944	NA	NA	NA	NA	NA	NA	NA	NA	2580	NA	NA	NA	NA	NA	NA	1244	NA	NA	1115	NA	NA
"ME203813"	NA	NA	NA	NA	23858	10846	NA	NA	5804	10088	6609	NA	13420	5801	12568	NA	NA	1554	NA	10708	14543	6475	NA	NA	NA	8089	NA	NA	5143	4221	9833	NA	NA
"ME203814"	NA	NA	NA	NA	NA	NA	NA	NA	3819	NA	NA	6250	NA	NA	6302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203815"	22932	11750	12310	21085	42979	NA	19987	NA	39192	18886	59068	37396	18769	8524	25375	14189	35101	10957	21202	21857	17811	17781	28202	15847	19398	32333	14237	71815	44541	45736	9678	25723	63284
"ME203799"	9729	10410	7850	13562	29286	NA	3048	NA	96390	NA	58852	48544	30087	5979	NA	6266	70976	NA	NA	NA	27740	80862	NA	35704	NA	NA	NA	30265	NA	NA	NA	42217	NA
"ME203800"	125832	180745	145179	107749	48454	135205	74616	161603	25553	25950	94087	27313	19146	35304	79816	13128	5314	1155	45610	30291	40053	58261	28503	137055	167444	52308	74047	45707	20759	27712	30696	41870	59677
"ME203801"	7853	NA	NA	NA	21561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1908	NA	3319	NA	1064	NA	NA	NA	3096	NA	NA	NA	NA	NA
"ME203802"	23084	32736	28279	57482	61994	NA	22647	103311	9666	3131	23357	NA	NA	13933	58523	NA	82736	NA	31687	11037	15575	6348	19910	28451	NA	31079	21672	12626	11041	11510	13192	2039	20732
"ME203816"	NA	NA	NA	NA	NA	6642	NA	NA	NA	NA	NA	10594	10693	NA	NA	NA	NA	NA	20203	NA	NA	18008	19841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203817"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2453	NA	NA	NA
"ME203818"	19012	NA	25150	22033	NA	25952	NA	32823	6099	19658	NA	NA	NA	32245	NA	5445	NA	NA	10218	5247	32383	12762	NA	NA	5315	NA	31971	NA	NA	NA	23060	14115	NA
"ME203819"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3324
"ME203820"	NA	NA	NA	NA	1051	NA	NA	NA	NA	1635	1002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1168	1367	NA	NA	NA
"ME203821"	NA	5162	NA	NA	NA	NA	NA	NA	9673	6715	3998	NA	11043	10194	NA	5635	NA	11802	NA	NA	5767	4702	7556	NA	NA	NA	NA	NA	NA	5272	NA	NA	NA
"ME203822"	5606	44274	19927	27447	17735	37911	32466	22777	6026	5975	16254	7316	3090	4436	2350	2565	4428	NA	3562	6453	5346	NA	7310	NA	7052	8176	7891	4519	4119	NA	7950	55335	5077
"ME203823"	NA	10931	25568	27371	47963	NA	13107	8272	10181	10612	38760	8747	NA	2889	NA	4949	8427	NA	NA	12218	NA	NA	NA	NA	NA	31583	22214	7497	19327	21311	NA	NA	6476
"ME203824"	131320	86000	81648	94202	121404	33636	114828	51285	55104	27583	98817	35303	28183	25255	61438	96932	93502	34916	43612	31811	45159	59145	88623	75306	21278	68675	10822	28419	48875	46173	30925	95016	14210
"ME203825"	24413	14156	22430	28013	15954	NA	32997	NA	NA	NA	NA	NA	NA	NA	NA	23052	21296	NA	NA	NA	NA	NA	NA	NA	2114	NA	NA	NA	NA	NA	NA	16216	NA
"ME203826"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11551	NA	NA	NA	NA	NA	NA	NA	23637	NA	NA	NA	NA	NA	NA	NA	NA
"ME203827"	2865459	2552142	2660237	2963165	2631428	2256220	2820249	2148043	3070096	3148985	3002490	3187716	1640799	884240	3168069	3142896	2882750	3924291	3405864	3050803	3290947	3284680	3515976	3271213	3253993	3065193	3305770	3167317	3203745	3146275	3419059	2598892	2976471
"ME203828"	1175920	958103	1081299	1107368	1045330	1046101	1152678	862869	1337306	1339657	1311514	1409325	873670	608402	1381828	1359821	1192099	1625162	1495728	1233597	1487525	1436290	1539088	1336472	1204614	1331862	1354587	1354671	1299178	1264978	1413074	1150252	1171186
"ME203829"	NA	18442	10343	14286	NA	23988	NA	7345	NA	NA	NA	NA	NA	NA	7277	NA	3979	NA	NA	NA	NA	10474	NA	NA	NA	9704	NA	10166	NA	NA	NA	7144	NA
"ME203830"	5268	NA	NA	NA	NA	NA	NA	NA	16278	14219	23003	50665	NA	NA	NA	NA	NA	NA	11768	NA	NA	NA	NA	18172	8935	NA	NA	9736	3600	NA	NA	3679	NA
"ME203831"	NA	NA	NA	NA	1892	NA	3789	NA	NA	NA	6214	NA	NA	NA	NA	NA	4837	NA	NA	NA	NA	3697	NA	NA	NA	NA	NA	NA	NA	NA	NA	6519	NA
"ME203832"	5247	6487	14834	15796	8096	5189	16567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5502	NA	7432	NA	NA	NA	NA	NA	NA	NA
"ME203833"	7307	4746	4933	7073	4423	NA	2550	2055	2450	7271	10794	4741	6349	7276	5517	8866	2936	NA	8546	9982	3504	5036	3090	4737	3780	2634	NA	6798	10145	6586	2958	1356	8015
"ME203834"	NA	NA	NA	NA	NA	NA	NA	NA	6617	8968	11234	9613	6889	NA	8556	NA	16193	NA	9283	NA	4004	12528	12196	10965	7655	12354	22197	10540	NA	35264	5048	NA	12009
"ME203835"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3827	NA	NA	NA	3753	NA	NA	NA	NA	NA	NA	1504	NA	4621	NA	NA	NA	NA	NA	NA	NA
"ME203836"	NA	NA	NA	NA	NA	NA	NA	2146	NA	NA	NA	NA	NA	NA	NA	NA	5186	NA	NA	NA	NA	NA	NA	7283	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203837"	1716	NA	2424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2592	NA	NA	NA	NA	NA	NA	7792	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203838"	NA	NA	6313	2180	4199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203839"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3314	NA	NA	27684	100306	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203840"	NA	2484	NA	NA	NA	2551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203841"	NA	NA	NA	NA	NA	NA	NA	4175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10840	18492	8811	NA	NA	NA	10741	NA	NA
"ME203842"	30103	NA	12029	20250	30540	11580	26300	26428	22882	2617	28662	28053	24312	16717	24445	31422	23587	13387	20878	6032	23402	20532	35822	26042	NA	32164	NA	27630	NA	NA	NA	32132	NA
"ME203843"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203844"	114358	101682	NA	NA	53329	76400	67566	94082	35710	102318	55700	50222	58600	80901	74893	68818	35698	8927	60356	47926	86710	43947	35223	105923	55188	83570	40156	63360	50177	46939	79165	107544	37391
"ME203845"	2097803	2179111	909506	938289	1264725	702838	538240	221929	1126161	2218021	1740833	1417527	1624515	1446105	1513051	1386250	1444818	108860	1719861	786072	1710819	352368	887786	2024508	1658052	2007213	1086252	1827945	1307399	1145166	1898649	2021005	1168224
"ME203846"	42186	111602	51470	57479	123427	NA	35475	NA	343626	51144	191273	161484	76537	NA	NA	49423	286072	37213	255113	26795	82614	150022	238383	82620	166098	89113	123616	203001	121096	134468	168270	146629	31192
"ME203847"	373228	428280	369511	239155	725938	236285	357311	276808	859518	191248	863989	287576	527054	118969	110783	275585	1464753	10274	604056	383677	243665	1424097	370707	232888	279099	271905	202268	194714	157422	167851	149834	800402	241285
"ME203848"	NA	NA	NA	NA	NA	NA	NA	NA	NA	18523	3572	NA	NA	23639	NA	NA	NA	43490	NA	NA	5301	NA	NA	NA	NA	NA	NA	NA	9810	NA	8215	NA	NA
"ME203849"	NA	NA	NA	NA	40558	NA	25110	NA	45762	47257	32539	55353	NA	45975	25784	NA	33236	56535	44135	NA	10861	NA	19359	14259	17940	NA	28070	31749	35035	20954	42740	19542	17737
"ME203850"	NA	NA	NA	NA	NA	2281	NA	NA	NA	NA	1835	NA	NA	NA	NA	NA	3756	NA	NA	NA	NA	NA	NA	NA	NA	26746	9973	NA	NA	3832	9782	NA	NA
"ME203851"	31544	72321	33050	37928	51199	51554	54354	118505	NA	24219	14381	11275	16068	NA	NA	2631	NA	NA	15903	5774	15833	5647	4197	34030	NA	31566	11304	16795	NA	NA	22733	43208	2631
"ME203852"	45791	65007	45242	59468	64923	64755	35942	19816	NA	NA	4288	1950	5175	NA	NA	NA	12516	NA	NA	5515	NA	4879	2447	7602	15667	5217	NA	8934	NA	NA	NA	38217	33185
"ME203853"	111875	143850	90112	134454	158002	169369	84963	15161	NA	NA	NA	NA	17465	NA	NA	NA	9515	31120	NA	NA	NA	3821	NA	6284	39984	4334	NA	6864	NA	NA	NA	99666	107082
"ME203854"	NA	3363	NA	NA	NA	2641	2269	NA	NA	NA	4482	NA	2908	NA	NA	NA	NA	3391	NA	7526	2025	2062	NA	NA	8706	NA	3523	5223	7507	4422	4113	4307	13505
"ME203855"	NA	NA	NA	NA	NA	NA	NA	NA	11822	NA	3624	8507	NA	NA	NA	NA	NA	10623	NA	NA	4752	NA	14478	NA	28385	4330	10163	NA	14844	12065	7423	NA	15573
"ME203856"	5115	NA	NA	NA	NA	NA	NA	NA	3684	NA	6755	NA	NA	NA	NA	1714	4641	NA	NA	NA	NA	33263	NA	NA	NA	6268	NA	NA	NA	NA	NA	NA	NA
"ME203857"	NA	NA	NA	NA	2275	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203858"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2963	NA	NA	NA	NA	NA
"ME203859"	NA	14308	10788	9948	8375	NA	NA	9769	NA	9867	9693	8898	7808	3977	NA	7429	NA	NA	NA	NA	NA	NA	NA	NA	NA	9980	4582	4861	11472	4585	NA	NA	NA
"ME203860"	NA	NA	NA	NA	NA	NA	NA	5569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203861"	610539	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	327066	NA	NA	NA	NA	NA	NA	642215
"ME203862"	NA	2673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203863"	NA	45345	38268	34983	16134	NA	27712	NA	NA	25564	44036	26822	NA	NA	52215	NA	13784	12702	NA	69325	45913	68824	53815	8914	81594	103772	26656	21530	67781	62795	68916	103439	104431
"ME203864"	NA	NA	14449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24290	NA	NA	NA	NA	12195	NA	NA	NA	NA	NA	NA	NA	32316	NA	NA
"ME203866"	530321	130607	1411236	49438	76961	266355	262605	247961	145927	NA	245802	31598	41874	74724	151024	NA	48006	NA	48097	NA	40856	313616	960719	113020	NA	114820	NA	443904	NA	NA	NA	360987	NA
"ME203865"	547203	306665	369942	316969	227208	274824	252257	353908	266447	201530	217600	304872	149457	89855	287800	140410	403386	38198	247540	289095	95877	165964	160622	139743	319116	173823	232747	397936	351254	473189	142861	374496	291393
"ME203867"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15838	NA	NA	NA	7877	NA	NA	NA	25389	NA	NA
"ME203868"	NA	NA	NA	NA	1613	NA	NA	1636	NA	NA	NA	5786	NA	3277	NA	2036	NA	NA	4067	4111	NA	NA	NA	NA	NA	NA	3446	NA	2945	NA	NA	NA	NA
"ME203869"	127951	186414	98289	NA	NA	45267	26450	105861	147397	456745	179063	166383	118417	208260	76430	104203	101343	NA	183024	33202	127302	175772	143026	115072	89593	139273	150706	111746	44294	30038	176409	81749	174016
"ME203870"	NA	NA	NA	NA	NA	NA	NA	NA	2090	NA	NA	NA	NA	10084	29792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203871"	7346876	6355307	6133599	624944	6007159	7146241	6275626	7703169	6963903	453509	6556035	7262402	7775432	7813256	7900915	6713297	5795620	2292197	7706850	415753	6978543	6884373	450325	6754079	475304	6651434	5995631	6323552	6677800	6727099	6530749	6085485	3016418
"ME203872"	NA	NA	NA	NA	NA	NA	NA	NA	5573	NA	NA	5959	NA	NA	NA	NA	NA	3468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203873"	NA	NA	NA	NA	58143	NA	NA	NA	NA	NA	NA	NA	19866	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20833	NA	NA	NA	NA	NA
"ME203874"	NA	NA	1569	NA	NA	NA	1961	2039	NA	NA	NA	NA	NA	NA	NA	NA	3078	NA	NA	NA	NA	NA	NA	3188	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203875"	3973006	1717309	1220208	1507839	5529026	724310	3261980	1582698	4600434	1291564	4022704	4801177	5326142	2065135	1525663	490554	9214096	858312	2820487	5663813	985049	2351181	3122969	2378980	NA	4561597	3303495	1637264	4607748	5284951	1201168	NA	4309541
"ME203876"	308853	397449	318477	1042892	1783283	NA	383009	351453	1361703	192126	340116	404112	608131	262807	937026	116798	725348	358800	1634905	362219	591174	160305	1010903	950093	1652779	442897	1440157	522910	1290137	1419317	673742	1724042	236834
"ME203877"	NA	NA	NA	NA	NA	NA	NA	1284	NA	NA	NA	NA	NA	NA	NA	NA	1304	NA	NA	13231	NA	2644	NA	NA	1170	NA	5841	NA	23358	23767	12653	NA	7256
"ME203878"	1314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203879"	530321	131809	1411236	33285	91248	266355	263435	247710	145927	NA	245802	35477	44095	74724	151024	NA	50401	NA	48097	NA	41527	313616	961622	113020	NA	114820	NA	446521	NA	NA	NA	360987	NA
"ME203882"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13610	NA	NA	NA	NA	NA	NA	NA	NA	NA	3295
"ME203883"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203880"	8282847	5782536	6004495	6623576	4050546	5460395	2949743	5168701	4200149	2129106	2095458	2614985	1257149	371755	1944400	2690848	7153856	341443	2765998	1863240	1037964	3055446	1021466	1455470	2393818	2413183	2524760	3288334	4060834	2728336	950392	3816613	2193895
"ME203881"	52197	461353	142683	381345	NA	399082	229974	94129	435884	NA	32317	77416	228430	99862	101494	NA	NA	167090	93336	144252	144994	227964	137952	213278	NA	196161	199876	198522	NA	443317	NA	NA	144290
"ME203884"	103848	255797	296602	414066	344132	362372	254926	578329	338016	310017	323252	486884	158398	116381	138994	138095	195062	15644	300145	199492	178915	161337	249840	232102	509390	NA	121759	337454	116828	136392	NA	262914	557354
"ME203885"	46100000	57400000	5.9e+07	63500000	57600000	51600000	64600000	59200000	36500000	4.8e+07	48800000	40500000	36100000	10700000	3.9e+07	11800000	44700000	1662256	40700000	50700000	42600000	41600000	35200000	48700000	48900000	48900000	45400000	46600000	34800000	39200000	40700000	52900000	44500000
"ME203886"	370984	505517	495899	535960	573597	420746	565748	NA	265916	396080	409049	301407	295568	NA	342664	207474	297291	26917	297056	469611	462834	325747	345089	NA	340541	429192	366655	374502	230935	261293	398991	457135	301943
"ME203887"	42035	88938	90998	288129	98366	848295	168359	267633	40797	97639	71071	92459	162898	35371	30652	35509	39608	NA	137273	83513	46586	59078	86867	47003	258139	139342	51755	86129	21738	30548	238155	100016	134171
"ME203888"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1942	NA
"ME203889"	NA	NA	NA	NA	32177	29035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203890"	1720788	2177975	1767192	1720506	1714144	2307439	2409279	1628483	1572201	543778	1170588	1037021	931311	247409	491314	2783651	775989	26408	1844317	1307465	1078588	2748780	517723	1492023	1832146	1388219	580962	1648831	806063	986762	1621064	653947	998511
"ME203891"	32553	NA	NA	NA	NA	46011	NA	31211	23875	NA	24265	21082	15139	NA	2986	43706	16398	NA	30339	NA	18165	41484	5976	25211	32786	26961	NA	28200	3085	NA	27307	NA	20059
"ME203901"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7437	7409	5974	6425	NA	8254	6614	NA	6399	NA	4703	NA	9814	12620	NA	4472	7784	8076	NA	NA	NA	NA	7768
"ME203892"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2649	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203902"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203893"	NA	5998	9363	8324	16405	5834	23784	11254	18952	25819	17734	15271	17013	20548	13741	NA	10964	10433	19259	9379	11677	18389	6088	10610	17946	18533	13824	27999	14174	10076	14860	11812	6804
"ME203894"	15535	9014	12376	7922	13728	7238	18144	11592	12098	19939	14977	11411	20956	13197	13968	11849	11460	3834	15579	12066	13914	13696	8516	13172	14831	17006	13089	19560	NA	10376	13872	13790	NA
"ME203903"	58236	175573	131287	137192	344891	99862	125578	73600	69513	146036	59903	16634	66431	73552	35886	3386	28627	NA	125669	109760	63891	42272	71419	54606	48372	67601	33244	22497	38240	47943	19721	41803	17963
"ME203904"	NA	NA	23695	55300	19963	NA	NA	43437	NA	NA	NA	9429	NA	NA	NA	NA	34012	NA	NA	NA	NA	NA	NA	60620	62536	19530	NA	15574	NA	NA	NA	40851	NA
"ME203905"	23981	43615	22807	50736	68697	12006	30154	50377	49757	39116	30045	11080	20083	9627	46217	36150	189114	5032	36739	17508	14930	26649	59032	114844	1111642	34033	200738	26708	209599	273283	14471	58493	55711
"ME203906"	24311	71439	47610	93781	131114	19476	33691	86739	39669	35840	24099	7611	22762	12817	38169	31347	178621	6457	33352	19112	11513	19651	47792	105495	954157	33557	168942	26202	198891	196511	NA	76707	27582
"ME203895"	4608	NA	NA	5486	5522	5806	NA	NA	NA	NA	7761	NA	15894	11473	NA	3072	6034	9027	NA	NA	4046	13607	6983	NA	9049	8087	NA	NA	NA	NA	3680	NA	9166
"ME203896"	NA	3426	6835	NA	7829	NA	4668	NA	NA	9003	4274	7676	NA	7728	6045	9328	NA	NA	7641	NA	6220	NA	NA	7148	NA	8993	8044	6140	NA	5705	NA	NA	7452
"ME203897"	NA	NA	NA	NA	NA	NA	NA	NA	3022	1170	NA	NA	NA	3237	NA	NA	9602	NA	NA	NA	2530	4085	NA	NA	NA	1668	NA	NA	NA	NA	2116	3520	NA
"ME203898"	NA	NA	NA	NA	2173	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203907"	NA	2548	NA	NA	NA	NA	3310	NA	NA	NA	NA	NA	NA	NA	NA	3013	NA	NA	NA	1583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203899"	NA	305069	593980	1498650	NA	NA	NA	747425	NA	NA	NA	NA	659627	844225	663353	NA	NA	NA	511302	484003	457475	NA	319697	1367497	1078781	NA	795745	NA	437102	NA	708122	1645995	598219
"ME203900"	6843316	5986754	6517411	6137642	5763216	6327398	6818160	5188326	6650383	6565639	6124816	6876745	3748580	3587150	6551752	7334557	5992144	8339904	6720707	5921365	6284189	6568928	6893212	6446923	6240009	5827977	6340108	6389173	6614448	6513065	7167262	5868656	5622630
"ME203908"	82017	54026	81122	72486	99205	67651	86236	105682	85487	66825	58549	70106	86310	47186	65826	32228	78356	9828	84849	118663	41769	84057	42466	80744	97792	78693	45623	86845	67235	77326	72105	91989	98569
"ME203909"	18719	13130	18455	17918	22410	16580	20879	23241	20387	14057	14628	16829	19306	9534	15608	7942	19098	1658	19749	25689	11144	19391	9057	17884	22116	17764	10490	20980	16316	18934	15928	23004	20470
"ME203912"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ME203913"	8621	35339	31514	29094	34160	NA	NA	10015	16558	19865	24401	21403	NA	NA	NA	NA	NA	NA	NA	8971	NA	3217	NA	18579	25215	47859	NA	NA	NA	NA	23424	NA	32151
"ME203914"	6578835	1434935	3239891	2148158	9317650	NA	4853112	690147	3062048	2976813	3688164	2965544	3401582	NA	1522624	644295	4996310	639421	895596	1376449	1027497	1892832	234301	3137306	1407970	6302705	2934314	4222598	926349	1060622	NA	1231900	3601108
"ME203915"	28441	25174	8801	6995	22860	18913	19095	NA	23144	50727	14042	24675	30521	39461	6672	NA	14262	6606	13880	24053	NA	14670	12046	NA	46150	14100	40814	12322	11460	24269	57273	NA	36705
"ME203916"	1911	1059	NA	2916	NA	NA	NA	1105	NA	3404	3577	1958	1536	NA	NA	2053	NA	NA	NA	NA	NA	1430	NA	NA	NA	NA	NA	NA	1420	NA	2421	NA	NA
"ME203917"	4734082	3671073	4489256	4549354	1805258	NA	4315125	4538867	2870117	3388653	4699308	3160680	3436429	1926751	3111307	2905429	4506806	181951	4117145	4167328	2601318	4426669	2707288	3736624	4264118	3979691	3732266	3044072	2715218	3101217	4006963	3453640	3660296
"ME203918"	23181	30222	448606	27758	191041	NA	43969	17649	11535	14850	32671	52737	21402	21604	23869	476529	41098	10730	17579	81398	8277	21767	5996	NA	13361	25261	23254	60119	32737	25689	NA	NA	14971
